NUTS_ID,Country,Name,Exposed_Total,Regional_Total,Pct_Total,Exposed_Under15,Regional_Under15,Pct_Under15,Exposed_15_64,Regional_15_64,Pct_15_64,Exposed_65plus,Regional_65plus,Pct_65plus
AL01,AL,Veri,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
AL02,AL,Qender,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
AL03,AL,Jug,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
AT11,AT,Burgenland,0,297435,0.0,0,39031,0.0,0,179926,0.0,0,68182,0.0
AT12,AT,Niederösterreich,7,1710201,0.0,0,247345,0.0,7,1108382,0.0,0,352800,0.0
AT21,AT,Kärnten,0,564382,0.0,0,64538,0.0,0,350878,0.0,0,118070,0.0
BE21,BE,Prov. Antwerpen,11,1875909,0.0,0,316874,0.0,9,1189392,0.0,2,369637,0.0
BE22,BE,Prov. Limburg (BE),0,885180,0.0,0,135545,0.0,0,563265,0.0,0,186382,0.0
BE33,BE,Prov. Liège,0,1112539,0.0,0,188254,0.0,0,712194,0.0,0,202082,0.0
BG31,BG,Severozapaden,132,689146,0.02,17,89924,0.02,56,409578,0.01,59,189644,0.03
BG32,BG,Severen tsentralen,8,692481,0.0,3,86176,0.0,3,418671,0.0,2,187634,0.0
BG33,BG,Severoiztochen,0,827534,0.0,0,115978,0.0,0,519017,0.0,0,192539,0.0
BG34,BG,Yugoiztochen,1282,951965,0.13,374,149282,0.25,739,582734,0.13,169,219949,0.08
BG41,BG,Yugozapaden,19,1981102,0.0,0,288380,0.0,2,1278090,0.0,17,414632,0.0
BG42,BG,Yuzhen tsentralen,1262,1306590,0.1,453,182235,0.25,654,815044,0.08,155,309311,0.05
CH01,CH,Région lémanique,7,1685563,0.0,0,264549,0.0,4,1128582,0.0,4,292549,0.0
CH07,CH,Ticino,25,353930,0.01,4,45582,0.01,16,225580,0.01,5,82802,0.01
CY00,CY,Kýpros,1055,917722,0.11,107,141916,0.08,678,617624,0.11,261,157998,0.17
CZ03,CZ,Jihozápad,0,1214075,0.0,0,192364,0.0,0,745936,0.0,0,245769,0.0
CZ04,CZ,Severozápad,189,1069955,0.02,23,169754,0.01,128,677665,0.02,38,222542,0.02
CZ05,CZ,Severovýchod,0,1484384,0.0,0,208925,0.0,0,906228,0.0,0,299199,0.0
CZ06,CZ,Jihovýchod,0,1695394,0.0,0,272855,0.0,0,1075095,0.0,0,347444,0.0
DE14,DE,Tübingen,0,1858803,0.0,0,269799,0.0,0,1202527,0.0,0,386706,0.0
DE22,DE,Niederbayern,0,1223765,0.0,0,108228,0.0,0,733186,0.0,0,203030,0.0
DE23,DE,Oberpfalz,0,1090002,0.0,0,146936,0.0,0,711928,0.0,0,231461,0.0
DE26,DE,Unterfranken,0,1295472,0.0,0,173928,0.0,0,825834,0.0,0,295571,0.0
DE30,DE,Berlin,0,3550770,0.0,0,503583,0.0,0,2351905,0.0,0,695067,0.0
DE40,DE,Brandenburg,11,2505617,0.0,3,315274,0.0,6,1517831,0.0,7,623112,0.0
DE71,DE,Darmstadt,0,3937185,0.0,0,563644,0.0,0,2569739,0.0,0,803854,0.0
DE72,DE,Gießen,0,1019426,0.0,0,136306,0.0,0,660113,0.0,0,223203,0.0
DE80,DE,Mecklenburg-Vorpommern,16,1544762,0.0,4,196226,0.0,10,934226,0.0,3,414880,0.0
